Column,layerid,title,description,layertype,creator,format,date,desc_date,place,subject,bbox
114,vector_public:GLB_OTHERP,Global GIS : Miscellaneous hydrography point features,"This datalayer is a point coverage representing worldwide miscellaneous hydrography point features and was published as part of the USGS Global GIS : global coverage database. Features in this layer have a FACC (Feature and Attribute Coding Catalogue) Codes of BA030, defined as, 'Island; A land mass smaller than a continent and surrounded by water,' or BI030, 'Lock; An enclosure with a pair or series of gates used for raising or lowering vessels as they pass from one water level to another,' or BI040, 'Sluice gate; A gate used to regulate the flow of water.' The datalayer was derived from the National Imagery and Mapping Agency's (NIMA, now the Nation Geospatial-Intelligence Agency (NGA)) Vector Map (VMap) Level 0 database (1997). The USGS Global GIS database contains a wealth of USGS and other public domain data, including global coverages of elevation, landcover, seismicity, and resources of minerals and energy at a nominal scale of 1:1 million. The U.S. Geological Survey (USGS) and The American Geological Institute (AGI) announced a cooperative agreement that will focus on making the USGS Global Geographic Information System (GIS) database readily available to educators and the general public in the form of a DVD based world atlas. The Vector Map (VMap) Level 0 database represents the third edition of the Digital Chart of the World. The second edition was a limited release item published 1995 09. The product is dual named to show its lineage to the original DCW, published in 1992, while positioning the revised product within a broader emerging-family of VMap products. VMap Level 0 is a comprehensive 1:1,000,000 scale vector basemap of the world. It consists of cartographic, attribute, and textual data stored on compact disc read only memory (CD-ROM). The primary source for the database is the National Imagery and Mapping Agency's (NIMA) Operational Navigation Chart (ONC) series. This is the largest scale unclassified map series in existence that provides consistent, continuous global coverage of essential basemap features. The database contains more than 1,900 megabytes of vector data and is organized into 10 thematic layers. The data includes major road and rail networks, major hydrologic drainage systems, major utility networks (cross-country pipelines and communication lines), all major airports, elevation contours (1000 foot(ft), with 500ft and 250ft supplemental contours), coastlines, international boundaries and populated places. The database can be accessed directly from the four optical CD-ROMs that store the database or can be transferred to a magnetic media.",Point,United States. National Imagery and Mapping Agency,Shapefile,1997,2005-2009,Earth,Islands,"ENVELOPE(-180, 180, 83.673363, -73.984604)"
115,vector_public:G3860_1864_B3_LC_ST,"Civil War Southern States : State Boundaries, ca. 1864",State boundaries during the US Civil War in the Confederate States. Vector data extracted from digital map provided by the Library of Congress at http://hdl.loc.gov/loc.gmd/g3860.cw0048100. Image georeferencing and feature extraction work done by EastView.,Polygon,Harvard University. Center for Geographic Analysis.,Shapefile,1864,2005-2009,southeastern US,state,"ENVELOPE(-99.24146, -74.211232, 40.829009, 25.093579)"
116,vector_restricted:ESRI07USBLKPOP_KY,Kentucky U.S. Census Block Centroid Populations : ESRI Data & Maps 2007,Kentucky U.S. Census Block Centroid Populations represents the populations of the U.S. Census blocks for the state of Kentucky. U.S. Census blocks are the smallest geographic entities within a county for which the Census Bureau tabulates population.,Point,"Tele Atlas North America, Inc.",Shapefile,2007,2005-2009,Kentucky,Census,"ENVELOPE(-89.55822, -81.99399, 39.140715, 36.498222)"
128,vector_restricted:KNG_WTRBDY,"King County, Washington : open water (polygons)","King County, Washington lakes, rivers, and streams polygons. Covers also the Puget Sound and portions of Snohomish and Pierce Counties.",Polygon,King County (Wash.),Shapefile,2003,2005-2009,Washington,Municipal,"ENVELOPE(-122.746102, -121.070761, 48.247866, 46.777877)"
136,vector_public:TG95DELKALN,"Census Class A Roads, 1995 - Delaware","This datalayer displays the Type A class roads thoughout the state of Delaware. Feature Class A roads include: Primary roads with limited access (interstate highways, toll highways); Primary roads without limited access (US highways, some state highways and county highways that connect cities and larger towns); regional and state highways state highways, Secondary and connecting roads (includes mostly state highways, but may include some county highways that connect smaller towns, subdivisions, and neighborhoods); Local, neighborhood, and rural roads, city streets, and vehicular trails. According to the TIGER95 Data Dictionary, the definition of a divided highway has been the source of considerable discussion. Earlier specifications have defined a divided road as having, '..opposing traffic lanes that are physically separated by a median strip no less than 70 feet wide in former GBF/DIME areas or no less than 200 feet wide in non-GBF/DIME areas.' This definition caused confusion in the proper coding of interstates having narrow medians. To clarify the situation, the Census Bureau now uses the term divided to refer to a road with opposing traffic lanes separated by any size median, and separated to refer to lanes that are represented in the Census TIGER data base as two distinct complete chains. Earlier operations may have depicted widely separated lanes as a single line in the data base or created separate lines when the median was small, depending on the available source used during the update. Road types possibly represented here are defined as follows: -Primary Highway With Limited Access (A1): Interstate highways and some toll highways are in this category and are distinguished by the presence of interchanges. These highways are accessed by way of ramps and have multiple lanes of traffic. The opposing traffic lanes are divided by a median strip. The TIGER/Line files may depict these opposing traffic lanes as two distinct lines in which case, the road is called separated. -Primary Road Without Limited Access (A2): This category includes nationally and regionally important highways that do not have limited access as required by category A1. It consists mainly of US highways, but may include some state highways and county highways that connect cities and larger towns. A road in this category must be hard-surface (concrete or asphalt). It has intersections with other roads, may be divided or undivided, and have multilane or single-lane characteristics. -Secondary and Connecting Road (A3): This category includes mostly state highways, but may include some county highways that connect smaller towns, subdivisions, and neighborhoods. The roads in this category are smaller than roads in Category A2, must be hard-surface (concrete or asphalt), and are usually undivided with single-lane characteristics. These roads usually have a local name along with a route number and intersect with many other roads and driveways. -Local, Neighborhood, and Rural Road (A4): A road in this category is used for local traffic and usually has a single lane of traffic in each direction. In an urban area, this is a neighborhood road and street that is not a thoroughfare belonging in categories A2 or A3. In a rural area, this is a short-distance road connecting the smallest towns; the road may or may not have a state or county route number. Scenic park roads, unimproved or unpaved roads,and industrial roads are included in this category. Most roads in the Nation are classified as A4 roads. -Vehicular Trail (A5): A road in this category is usable only by four-wheel drive vehicles, is usually a one-lane dirt trail, and is found almost exclusively in very rural areas. Sometimes the road is called a fire road or logging road and may include an abandoned railroad grade where the tracks have been removed. Minor, unpaved roads usable by ordinary cars and trucks belong in category -Road with Special Characteristics (A6): This category includes roads, portions of a road, intersections of a road, or the ends of a road that are parts of the vehicular highway system and that have separately identifiable characteristics. -Road as Other Thoroughfare (A7): A road in this category is not part of the vehicular highway system. It is used by bicyclists or pedestrians, and is typically inaccessible to mainstream motor traffic except for private-owner and service vehicles. This category includes foot and hiking trails located on park and forest land, as well as stairs or walkways that follow a road right-of-way and have names similar to road names.",Line,"U.S. Department of Commerce, Bureau of the Census, Geography Division",Shapefile,1995,2005-2009,Delaware,transportation,"ENVELOPE(-75.788658, -75.049926, 39.839007, 38.451013)"
159,vector_restricted:ESRI06USTRACTS,ESRI Data & Maps 2006 : U.S. Census Tracts,U.S. Census Tracts represents the U.S. Census tracts of the United States in the 50 states and the District of Columbia.,Polygon,"Tele Atlas North America, Inc.",Shapefile,2006,2005-2009,United States,Census districts,"ENVELOPE(-178.227822, -65.244128, 71.390482, 17.881242)"
174,vector_public:GLB_RVRBAS,Global GIS : international river basins of the world,"This datalayer is a polygon coverage representing the Transboundary Freshwater Dispute Database dataset: international river basins of the world. This version of the datalayer was published as part of the USGS Global GIS : global coverage database (2003). Does not cover Antarctica. The USGS Global GIS database contains a wealth of USGS and other public domain data, including global coverages of elevation, landcover, seismicity, and resources of minerals and energy at a nominal scale of 1:1 million. The U.S. Geological Survey (USGS) and The American Geological Institute (AGI) announced a cooperative agreement that will focus on making the USGS Global Geographic Information System (GIS) database readily available to educators and the general public in the form of a DVD based world atlas.",Polygon,"Wolf, Aaron T.",Shapefile,2003,2005-2009,Earth,Watersheds,"ENVELOPE(-164.698547, 145.207169, 71.440003, -54.748638)"
177,vector_restricted:ESRI04USCITIES_DTL,ESRI Data & Maps 2004 : U.S. National Atlas Cities,"U.S. National Atlas Cities represents cities and towns in the United States, Puerto Rico, and U.S. Virgin Islands.",Point,Geological Survey (U.S.),Shapefile,null,2005-2009,United States,Cities and towns,"ENVELOPE(-174.198764, 178.8746, 71.290064, 17.711709)"
178,vector_restricted:ESRI04USPUBLDSUR,ESRI Data & Maps 2004 : U.S. National Atlas Public Land Survey,"U.S. National Atlas Public Land Survey represents the Public Land Surveys (for example, donation lands, land grants, private and public lands) of the United States.",Polygon,Geological Survey (U.S.),Shapefile,1972,2005-2009,United States,Public lands,"ENVELOPE(-179.133391, 179.788209, 71.398182, 17.674691)"
198,vector_public:AFRICOVER_SM_ADM,Somalia Administrative Boundaries,"Somalia administrative boundaries from The Multipurpose Africover Database for the Environmental Resources produced by the Food and Agriculture Organization of the United Nations (FAO). Scale of the dataset: 1:100,000. The national and administrative boundaries have been taken from DCW.",Polygon,Food and Agriculture Organization of the United Nations,Shapefile,2002,2005-2009,Somalia,Boundaries,"ENVELOPE(40.988628, 51.412724, 11.992188, -1.653385)"
199,vector_restricted:ESRI04MIBLKPOP,ESRI Data & Maps 2004 : U.S. Census Block Centroid Populations : Michigan,U.S. Census Block Centroid Populations : Michigan represents the population of the U.S. Census block centroids for the state of Michigan. U.S. Census blocks are the smallest geographic entities within a county for which the Census Bureau tabulates population.,Point,"Environmental Systems Research Institute (Redlands, Calif.)",Shapefile,2003,2005-2009,Michigan,Census,"ENVELOPE(-90.414191, -82.319709, 48.262255, 41.699145)"
200,vector_public:G3860_1864_B3_LC_RR,"Civil War Southern States : Railroads, ca. 1864",Railroad routes during the US Civil War in the Confederate States. Vector data extracted from digital map provided by the Library of Congress at http://hdl.loc.gov/loc.gmd/g3860.cw0048100. Image georeferencing and feature extraction work done by EastView.,Line,Harvard University. Center for Geographic Analysis.,Shapefile,1864,2005-2009,southeastern US,railroad,"ENVELOPE(-98.228572, -74.429404, 40.845152, 29.091333)"
204,vector_restricted:INDIAHIST_DISTRICT61,"India : District Boundaries, 1961","This datalayer shows district boundaries of India for 1961. Includes district socio-demographic Census attribute data such as total population, population by sex, rural/urban populations, household and employment statistics. This layer is part of the India HistoricMap dataset showing decadal change in district boundaries of India since 1951. Socio-demographic data is included for the Census years i.e. 1951, 1961, 1971, 1981, 1991 and 2001. This data layer is sourced from secondary government sources, chiefly Survey of India, Census of India, Election Commission, etc. Scale 1:1,000,000.",Polygon,ML InfoMap (Firm),Shapefile,1961,2005-2009,India,Administrative and political divisions,"ENVELOPE(68.196831, 97.409096, 37.121712, 6.767454)"
205,vector_restricted:CH_CENSUS1990_PARTB,China historical 1990 county population census data - Part B,"This polygon datalayer includes China county boundaries with 1990 population census data. It is one (Part B) of two layers containing the entire 1990 population census data. The 1990 administrative maps were primarily based on the 'The Administrative Maps of the People's Republic of China,' published by China Map Press, and some other yearly administrative maps. This datalayer is part of the Historical county population census data with maps: 1953, 1964, 1982, 1990, 2000 data set produced by the All China Marketing Research Co. and distributed by the University of Michigan, China Data Center (2005). The historical county population Census data include population Census data for China at county level for 1953, 1964, 1980, 1990, and 2000, which are integrated with associated county GIS maps.",Polygon,Beijing Hua tong ren shi chang xin xi you xian ze ren gong si,Shapefile,1990,2005-2009,China,Census,"ENVELOPE(73.44696, 135.085831, 53.557926, 6.318641)"
210,vector_restricted:ESRI07USBLKPOP_TX,Texas U.S. Census Block Centroid Populations : ESRI Data & Maps 2007,Texas U.S. Census Block Centroid Populations represents the populations of the U.S. Census blocks for the state of Texas. U.S. Census blocks are the smallest geographic entities within a county for which the Census Bureau tabulates population.,Point,"Tele Atlas North America, Inc.",Shapefile,2007,2005-2009,Texas,Census,"ENVELOPE(-106.642175, -93.527592, 36.49961, 25.841348)"
226,vector_restricted:ESRI07USBLKPOP_VA,Virginia U.S. Census Block Centroid Populations : ESRI Data & Maps 2007,Virginia U.S. Census Block Centroid Populations represents the populations of the U.S. Census blocks for the state of Virginia. U.S. Census blocks are the smallest geographic entities within a county for which the Census Bureau tabulates population.,Point,"Tele Atlas North America, Inc.",Shapefile,2007,2005-2009,Virginia,Census,"ENVELOPE(-83.669011, -75.259284, 39.464099, 36.541004)"
238,vector_restricted:ESRI06USBLKGRP,ESRI Data & Maps 2006 : U.S. Census Block Groups,U.S. Census Block Groups represents the U.S. Census block groups of the United States.,Polygon,"Tele Atlas North America, Inc.",Shapefile,2006,2005-2009,United States,Census,"ENVELOPE(-178.227822, -65.244128, 71.390482, 17.881242)"
243,vector_restricted:INDIAVILL_PONDICH,"Pondicherry, India : Village Socio-Demographic and Economic Census Data, 2001","This datalayer shows village locations with socio-demographic and economic Census data for 2001 for the union territory of Pondicherry, India. Includes village socio-demographic and economic Census attribute data such as total population, population by sex, household, literacy and illiteracy rates, and employment by industry. This layer is part of the VillageMap dataset which includes socio-demographic and economic Census data for 2001 at the village level for all the states of India. This data layer is sourced from secondary government sources, chiefly Survey of India, Census of India, Election Commission, etc. Scale 1:1,000,000.",Point,ML InfoMap (Firm),Shapefile,2001,2005-2009,India,Human settlements,"ENVELOPE(79.610374, 79.835762, 12.033504, 10.852333)"
248,vector_restricted:INDIAMAP_TOWN,"India : Towns with Census Data, 2001","This datalayer shows towns of India for 2001. Includes town socio-demographic Census attribute data such as total population, population by sex, rural/urban populations, household, literacy, and employment statistics. This layer is part of the IndiaMap dataset which includes socio-demographic and economic Census data for 2001 at the State, District, Sub-District, and Town levels. This data layer is sourced from secondary government sources, chiefly Survey of India, Census of India, Election Commission, etc. Scale 1:1,000,000.",Point,ML InfoMap (Firm),Shapefile,2001,2005-2009,India,Cities and towns,"ENVELOPE(68.960663, 96.16851, 34.525982, 8.095102000000001)"
258,vector_restricted:KNG_FSH9PT,"King County, Washington : Water Resource Inventory Area 9 salmon point observations","King County, Washington point observations of 7 salmon species in Water Resource Inventory Area (WRIA) 9, 7 observation classes.",Point,King County (Wash.),Shapefile,2001,2005-2009,Washington,Municipal,"ENVELOPE(-122.412335, -121.325612, 47.590962, 47.131185)"
259,vector_public:G7820_S200_S6_ROADS,"Zhejiang Sheng, China : Roads","Vector dataset showing roads over an area of the Zhejiang Sheng region, China, 1979. Dataset was derived from 6 sheet maps from a series of Soviet Army topographic maps of China 1:200,000, prepared and printed by the Soviet Army General Headquarters, 1976-1991. Source maps were scanned and georeferenced to the Gauss-Kruger projection by Harvard Map Collection staff. Roads were traced and points were placed in ArcMap from the GeoTIFF using heads-up digitizing by East View Cartographic, Inc.",Line,"East View Cartographic, Inc.",Shapefile,1979,2005-2009,China,transportation,"ENVELOPE(118.960919, 121.070479, 30.044353, 27.957349)"
269,vector_restricted:ARCTRANS,Atlanta Regional Commission Transit Projects,"This polyline datalayer depicts transportation pojects with associated attribute data for the Atlanta Regional Commission's (ARC) 10-county region. ARC documentation states that: This Theme currently represents the transit component of the 2025 Regional Transportation Plan (RTP). This dataset was originally produced in 1997 by Day Wilburn Associates working with various staff within the Transportation Planning Division (TPD) and the GIS Division at ARC. This Theme was created in ArcView using a variety of hardcopy sources where proposed transit projects were approximated during 'heads up' digitizing, using ARCmap, ARC's street centerline database and other datasets for spatial reference. Please note, not all RTP transit projects are necessarily represented in this Theme.",Line,Atlanta Regional Commission (ARC),Shapefile,2002,2005-2009,Atlanta,transportation,"ENVELOPE(-84.926277, -83.878593, 34.090225, 33.298317)"
272,vector_restricted:ESRI04EURPRVDEMOG,ESRI Data & Maps 2004 : Europe Province/State Demographics,"Europe Province/State Demographics represents 616 areas, which in most cases, are provinces, multiple provinces or countries.",Polygon,Michael Bauer Research GmbH,Shapefile,2002,2005-2009,Europe,Demography,"ENVELOPE(-31.2716, 66.096, 71.1837, 27.6374)"
276,vector_restricted:ESRI07USBLKPOP_MA,Massachusetts U.S. Census Block Centroid Populations : ESRI Data & Maps 2007,Massachusetts U.S. Census Block Centroid Populations represents the populations of the U.S. Census blocks for the state of Massachusetts. U.S. Census blocks are the smallest geographic entities within a county for which the Census Bureau tabulates population.,Point,"Tele Atlas North America, Inc.",Shapefile,2007,2005-2009,Massachusetts,Census,"ENVELOPE(-73.48689, -69.931496, 42.886337, 41.235151)"
292,vector_restricted:ESRI04CTBLKPOP,ESRI Data & Maps 2004 : U.S. Census Block Centroid Populations : Connecticut,U.S. Census Block Centroid Populations : Connecticut represents the population of the U.S. Census block centroids for the state of Connecticut. U.S. Census blocks are the smallest geographic entities within a county for which the Census Bureau tabulates population.,Point,"Environmental Systems Research Institute (Redlands, Calif.)",Shapefile,2003,2005-2009,Connecticut,Census,"ENVELOPE(-73.7189, -71.7881, 42.050345, 40.959755)"
303,vector_restricted:ESRI05CANPROVINCE,ESRI Data & Maps 2005 : Canada Provinces,"Canada Provinces represents the Canadian provinces and territories as well as coastlines, international boundaries, provincial boundaries, and demographics. The boundaries are digitized from CanMap.",Polygon,DMTI Spatial Inc.,Shapefile,2004,2005-2009,Canada,Canadian provinces,"ENVELOPE(-141.00187, -52.61917, 83.115063, 41.687973)"
305,vector_public:MGISMAJ_BAP2,MassGIS 2003 Massachusetts Major Drainage Basins (Polygons) (March 2003),"This datalayer, produced by MassGIS, contains polygons representing the 28 major drainage basins of Massachusetts as defined by the USGS Water Resources Division and the MA Water Resources Commission. (See also the Major Drainage Basins (Arcs) datalayer).",Polygon,MassGIS (Office : Mass.),Shapefile,2003,2005-2009,Massachusetts,Watersheds,"ENVELOPE(-73.53335, -69.898477, 42.888351, 41.230341)"
316,vector_restricted:ESRI06USMJRROADS,ESRI Data & Maps 2006 : U.S. Major Roads,"U.S. Major Roads represents interstates, U.S. and state highways, major streets, and other major thoroughfares within the United States.",Line,"Tele Atlas North America, Inc.",Shapefile,2005,2005-2009,United States,Roads,"ENVELOPE(-166.5565, -65.259591, 71.306882, 17.9492)"
317,vector_public:AFRICOVER_BU_RIVERS,Burundi Rivers,"Burundi rivers from The Multipurpose Africover Database for the Environmental Resources produced by the Food and Agriculture Organization of the United Nations (FAO). Scale of the dataset: 1:100,000. The rivers have been produced from visual interpretation of digitally enhanced LANDSAT TM images (Bands 4,3,2) acquired mainly in the year 1999.",Line,Food and Agriculture Organization of the United Nations,Shapefile,2002,2005-2009,Burundi,Rivers,"ENVELOPE(29.001508, 30.849556, -2.309813, -4.461667)"
324,vector_public:TG95ALLPTPT,"Census Landmark Points, 1995 - Alabama","This datalayer displays landmark point features for the state of Alabama. 'Landmark' is the general name given to a cartographic (or locational) landmark, a land-use area, and a key geographic location (KGL). A cartographic landmark is identified for use by an enumerator while working in the field. A land-use area is identified in order to minimize enumeration efforts in uninhabited areas or areas where human access is restricted. A key geographic location is identified in order to more accurately geocode and enumerate a place of work or residence. The predominant feature classes represented in this layer includes airports or airfields, cemeteries, fraternities or sororities, state or local parks or forests, golf courses, lookout towers, educational and religious institutions. Other possible landmark features could include military installations, multi-household or transient quarters, custodial facilities, other types of transportation facilities or terminals, employment centers, open space and other special landmark designations for post offices, police stations and firehouses.",Point,"U.S. Department of Commerce, Bureau of the Census, Geography Division",Shapefile,1995,2005-2009,Alabama,transportation,"ENVELOPE(-88.464801, -84.976969, 35.001651, 30.228178)"
327,vector_restricted:ESRI05USDTL_RIVERS_IL,ESRI Data & Maps 2005 : U.S. Rivers and Streams : Illinois,U.S. Rivers and Streams : Illinois represents detailed rivers and streams for the state of Illinois.,Line,Geological Survey (U.S.),Shapefile,2004,2005-2009,Illinois,Rivers,"ENVELOPE(-91.513036, -87.495477, 42.5083, 36.970734)"
353,vector_restricted:ESRI05USCBSA,ESRI Data & Maps 2005 : U.S. Core Based Statistical Areas,"U.S. Core Based Statistical Areas represents geographic entities, defined by the United States Office of Management and Budget for use by Federal statistical agencies, based on the concept of a core area with a large population nucleus, plus adjacent communities having a high degree of economic and social integration with that core. A Core-Based Statistical Area consists of a county containing an Incorporated Place or Census Designated Place with a population of at least 10,000 along with any adjacent counties that have at least 25 percent of employed residents of the county who work in the CBSA's core or central county. CBSAs are categorized as being either Metropolitan or Micropolitan. Each Metropolitan Statistical Area must have at least one urbanized area of 50,000 or more inhabitants. Each Micropolitan Statistical Area must have at least one urban cluster of at least 10,000 but less than 50,000 population.",Polygon,"Tele Atlas North America, Inc.",Shapefile,2005,2005-2009,United States,Metropolitan areas,"ENVELOPE(-160.554895, -65.589823, 65.454476, 17.881242)"
362,vector_restricted:ESRI04EURRRSTN,ESRI Data & Maps 2004 : Europe Railroad Stations,Europe Railroad Stations contains the railroad stations in Europe.,Point,AND Products B.V.,Shapefile,2002,2005-2009,Europe,Railroad stations,"ENVELOPE(-14.4388, 64.645, 69.4207, 36.1261)"
