Column,layerid,title,description,layertype,creator,format,date,desc_date,place,subject,bbox
66,vector_restricted:MACON95_OKMKT_TRACT,"Oklahoma Census Tract Market Data, 1995, MaconUSA","This dataset is a polygon layer providing boundary and marketing data for Census tracts for Oklahoma, 1995. The marketing data set includes attributes covering: population growth, population age and sex distribution, household age, income, and wealth, Claritas Consumer CLOUT expenditure data for alcoholic beverages, women's footwear, attorneys, bicycles, and vehicle supplies, Claritas Financial CLOUT expenditure data on first mortgages greater than $150,000, bank credit cards, and life insurance, PRIZM household type (Elite Suburbs, Working Towns), and workforce employed by the private sector. Individual demographic and marketing datasets for all 50 states plus the District of Columbia at both the Census tract and ZIP code level were derived from MaconUSA's 'Maps and Data for Microsoft Office 95', published in 1996. State and county-level demographic and marketing layers were also derived from the 'Maps and data' dataset. Original dataset sources include: the Claritas Update, Claritas Financial CLOUT database, Claritas Consumer CLOUT database, the U.S. Bureau of Labor Statistics, the U.S. Census Bureau, various other federal, state, and local governmental agencies, and businesses.",Polygon,MaconUSA (Firm),Shapefile,1995,2010-2014,Oklahoma,Census districts,"ENVELOPE(-103.00195, -94.431299, 37.001676, 33.615718)"
69,vector_public:NHGIS_POP1800,"Historic County Boundaries and Total Population, United States, 1800","This boundary file contains historic county boundaries for which the U.S. Census Bureau tabulated data and was produced by the Minnesota Population Center as part of the National Historical Geographic Information System (NHGIS) project. The NHGIS county boundaries shapefile was joined with NHGIS total population tabular data from the same year by the Harvard University Center for Geographic Analysis. The county boundary shapefiles and its respective population data were joined for each decade, 1790-2000.The NHGIS is an National Science Foundation-sponsored project (Grant No. BCS0094908) to create a digital spatial-temporal database of all available historical US aggregate census materials. The available shapefiles on the NHGIS site represent version 1.0 of historical US county boundary files for the 1790 to 2000 censuses. These electronic county boundary files were created by referencing a wide variety of sources and considerable care was taken during their production. U.S. Census Bureau TIGER/Line Census 2000 files provided the 1990 and 2000 county boundaries and the roads, hydrography, and public land survey lines required to construct historic county boundaries. Locations of historic county boundaries were derived from William Thorndale and William Dollarhide's Map Guide to the U.S. Federal Censuses (1987), various volumes of John H. Long's Atlas of Historical County Boundaries, the Atlas of Historical County Boundaries website (http://www.newberry.org/ahcbp/), and other state-specific sources. TIGER/Line spatial features that corresponded to boundaries in these sources were used to construct the proper historic boundaries. When a TIGER/Line feature was not available, we digitized the historic boundary from one of the map sources. Aggregate data from Michael Haines' Historical Demographic, Economic and Social Data: The United States, 1790-1970 (2001) and Richard Forstall's Population of States and Counties of the United States: 1790 to 1990 (1996) were used to determine whether a county was enumerated during a given census. If a county was not enumerated, notes from those sources were used to attach the county in question to the county with which it was enumerated. If a county was not enumerated and the notes provide no details, the county was considered 'unattached' and it was merged with other unattached land within the state or territory.",Polygon,University of Minnesota. Minnesota Population Center,Shapefile,1800,2010-2014,United States,Boundaries,"ENVELOPE(-95.040903, -65.861675, 49.792189, 28.848359)"
77,vector_restricted:MACON95_ALMKT_ZIP,"Alabama ZIP Code Market Data, 1995, MaconUSA","This dataset is a polygon layer providing boundary and marketing data for 5-digit ZIP code areas for Alabama, 1995. The marketing data set includes attributes covering: population growth, population age and sex distribution, household age, income, and wealth, Claritas Consumer CLOUT expenditure data for alcoholic beverages, women's footwear, attorneys, bicycles, and vehicle supplies, Claritas Financial CLOUT expenditure data on first mortgages greater than $150,000, bank credit cards, and life insurance, PRIZM household type (Elite Suburbs, Working Towns), and workforce employed by the private sector. Individual demographic and marketing datasets for all 50 states plus the District of Columbia at both the Census tract and ZIP code level were derived from MaconUSA's 'Maps and Data for Microsoft Office 95', published in 1996. State and county-level demographic and marketing layers were also derived from the 'Maps and data' dataset. Original dataset sources include: the Claritas Update, Claritas Financial CLOUT database, Claritas Consumer CLOUT database, the U.S. Bureau of Labor Statistics, the U.S. Census Bureau, various other federal, state, and local governmental agencies, and businesses.",Polygon,MaconUSA (Firm),Shapefile,1995,2010-2014,Alabama,Zip codes,"ENVELOPE(-88.473067, -84.884399, 35.007938, 30.220649)"
85,vector_public:USGS_GT_ANTIGUA_VGA,"Vegetation Areas : Woods, Forests, Antigua Guatemala Region, Guatemala, 1988","Vegetation areas : woods, forests for the Antigua Guatemala region, Guatemala. This layer was vectorized from original hard copy 1:50,000 topographic maps produced from the early 1970s to the mid 1980s. Hurricane Mitch devastated Central America during the months of October-November of 1998. From 1998 to 2001 the US Geological Survey was involved along with other federal agencies in the reconstruction effort. The source CD consists of a compilation of GIS data layers and computer applications focused on hazard prevention and useful in municipal planning. Each dataset includes layers for a base area of one hundred square kilometers around the urban center of each municipality in the Hurricane Mitch project.",Polygon,Geological Survey (U.S.),Shapefile,1976,2010-2014,Guatemala,Forests and Forestry,"ENVELOPE(-90.776921, -90.684916, 14.606438, 14.484288)"
105,vector_restricted:MACON95_IAMKT_ZIP,"Iowa ZIP Code Market Data, 1995, MaconUSA","This dataset is a polygon layer providing boundary and marketing data for 5-digit ZIP code areas for Iowa, 1995. The marketing data set includes attributes covering: population growth, population age and sex distribution, household age, income, and wealth, Claritas Consumer CLOUT expenditure data for alcoholic beverages, women's footwear, attorneys, bicycles, and vehicle supplies, Claritas Financial CLOUT expenditure data on first mortgages greater than $150,000, bank credit cards, and life insurance, PRIZM household type (Elite Suburbs, Working Towns), and workforce employed by the private sector. Individual demographic and marketing datasets for all 50 states plus the District of Columbia at both the Census tract and ZIP code level were derived from MaconUSA's 'Maps and Data for Microsoft Office 95', published in 1996. State and county-level demographic and marketing layers were also derived from the 'Maps and data' dataset. Original dataset sources include: the Claritas Update, Claritas Financial CLOUT database, Claritas Consumer CLOUT database, the U.S. Bureau of Labor Statistics, the U.S. Census Bureau, various other federal, state, and local governmental agencies, and businesses.",Polygon,MaconUSA (Firm),Shapefile,1995,2010-2014,Iowa,Zip codes,"ENVELOPE(-96.639388, -90.158417, 43.50124, 40.38174)"
124,vector_restricted:MACON95_AKDEM_TRACT,"Alaska Census Tract Demographics, 1995, MaconUSA","This dataset is a polygon layer providing boundary and demographic statistical data for Census tracts for Alaska, 1995. The demographic data set includes attributes covering: age and sex distribution, ethnicity and ancestry, education, income, industry employment, household size, type of housing unit, home ownership, home value, and mortgage statistics, automobile ownership, and home heating fuel types. Individual demographic and marketing datasets for all 50 states plus the District of Columbia at both the Census tract and ZIP code level were derived from MaconUSA's 'Maps and Data for Microsoft Office 95', published in 1996. State and county-level demographic and marketing layers were also derived from the 'Maps and data' dataset. Original dataset sources include: the Claritas Update, the U.S. Bureau of Labor Statistics, the U.S. Census Bureau, various other federal, state, and local governmental agencies, and businesses.",Polygon,MaconUSA (Firm),Shapefile,1995,2010-2014,Alaska,Census districts,"ENVELOPE(-179.144745, 179.781218, 71.383101, 51.2168)"
125,vector_restricted:MACON95_IADEM_ZIP,"Iowa ZIP Code Demographics, 1995, MaconUSA","This dataset is a polygon layer providing boundary and demographic statistical data for 5-digit ZIP code areas for Iowa, 1995. The demographic data set includes attributes covering: age and sex distribution, ethnicity and ancestry, education, income, industry employment, household size, type of housing unit, home ownership, home value, and mortgage statistics, automobile ownership, and home heating fuel types. Individual demographic and marketing datasets for all 50 states plus the District of Columbia at both the Census tract and ZIP code level were derived from MaconUSA's 'Maps and Data for Microsoft Office 95', published in 1996. State and county-level demographic and marketing layers were also derived from the 'Maps and data' dataset. Original dataset sources include: the Claritas Update, the U.S. Bureau of Labor Statistics, the U.S. Census Bureau, various other federal, state, and local governmental agencies, and businesses.",Polygon,MaconUSA (Firm),Shapefile,1995,2010-2014,Iowa,Zip codes,"ENVELOPE(-96.639388, -90.158417, 43.50124, 40.38174)"
130,vector_public:USGS_GT_GUATEMALA_CITY_DNN,"Net Drainage Coverage (lines), Guatemala City Region, Guatemala, 1988","Net drainage coverage (lines) for the Guatemala City region, Guatemala. This layer was vectorized from original hard copy 1:50,000 topographic maps produced from the early 1970s to the mid 1980s. Hurricane Mitch devastated Central America during the months of October-November of 1998. From 1998 to 2001 the US Geological Survey was involved along with other federal agencies in the reconstruction effort. The source CD consists of a compilation of GIS data layers and computer applications focused on hazard prevention and useful in municipal planning. Each dataset includes layers for a base area of one hundred square kilometers around the urban center of each municipality in the Hurricane Mitch project.",Line,Geological Survey (U.S.),Shapefile,1976,2010-2014,Guatemala,Bodies of water,"ENVELOPE(-90.63622, -90.452217, 14.694799, 14.514745)"
132,vector_restricted:MACON95_FLDEM_ZIP,"Florida ZIP Code Demographics, 1995, MaconUSA","This dataset is a polygon layer providing boundary and demographic statistical data for 5-digit ZIP code areas for Florida, 1995. The demographic data set includes attributes covering: age and sex distribution, ethnicity and ancestry, education, income, industry employment, household size, type of housing unit, home ownership, home value, and mortgage statistics, automobile ownership, and home heating fuel types. Individual demographic and marketing datasets for all 50 states plus the District of Columbia at both the Census tract and ZIP code level were derived from MaconUSA's 'Maps and Data for Microsoft Office 95', published in 1996. State and county-level demographic and marketing layers were also derived from the 'Maps and data' dataset. Original dataset sources include: the Claritas Update, the U.S. Bureau of Labor Statistics, the U.S. Census Bureau, various other federal, state, and local governmental agencies, and businesses.",Polygon,MaconUSA (Firm),Shapefile,1995,2010-2014,Florida,Zip codes,"ENVELOPE(-87.634949, -80.0316, 31.000699, 24.522549)"
146,vector_public:USGS_HO_EL_PROGRESO_ELPRFL,"Flood Inundation Areas, El Progreso, Honduras","Flood inundation polygons for the 50-year flood, for Rio Pelo, El Progreso, Honduras. Water-surface elevations for an estimated 50-year-flood discharge on Rio Pelo at El Progreso were determined using HEC-RAS, a one-dimensional step-backwater computer program. The channel and floodplain cross section geometry used in HEC-RAS were developed from an airborne light detection and ranging (LIDAR) topographic survey of the area. The 50-year-flood discharge for Rio Pelo, 235 cubic meters per second, was estimated using a regression equation that relates the 50-year-flood discharge to drainage area and mean annual precipitation. The area of inundation and depth of flood coverage was created with the HEC-RAS output and topographic TIN using HEC-geo-RAS software.",Polygon,Geological Survey (U.S.),Shapefile,2001,2010-2014,Honduras,Floods,"ENVELOPE(-87.8271, -87.774501, 15.407878, 15.385961)"
148,vector_restricted:MACON95_FLMKT_ZIP,"Florida ZIP Code Market Data, 1995, MaconUSA","This dataset is a polygon layer providing boundary and marketing data for 5-digit ZIP code areas for Florida, 1995. The marketing data set includes attributes covering: population growth, population age and sex distribution, household age, income, and wealth, Claritas Consumer CLOUT expenditure data for alcoholic beverages, women's footwear, attorneys, bicycles, and vehicle supplies, Claritas Financial CLOUT expenditure data on first mortgages greater than $150,000, bank credit cards, and life insurance, PRIZM household type (Elite Suburbs, Working Towns), and workforce employed by the private sector. Individual demographic and marketing datasets for all 50 states plus the District of Columbia at both the Census tract and ZIP code level were derived from MaconUSA's 'Maps and Data for Microsoft Office 95', published in 1996. State and county-level demographic and marketing layers were also derived from the 'Maps and data' dataset. Original dataset sources include: the Claritas Update, Claritas Financial CLOUT database, Claritas Consumer CLOUT database, the U.S. Bureau of Labor Statistics, the U.S. Census Bureau, various other federal, state, and local governmental agencies, and businesses.",Polygon,MaconUSA (Firm),Shapefile,1995,2010-2014,Florida,Zip codes,"ENVELOPE(-87.634949, -80.0316, 31.000699, 24.522549)"
162,vector_public:TG10DEVTD,Voting Districts DE 2010,"This polygon data layer represents the 2010 TIGER/Line voting districts for Delaware. The TIGER/Line Files are shapefiles and related database files (.dbf) that are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB). The MTDB represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line File is designed to stand alone as an independent data set, or they can be combined to cover the entire nation. Voting district is the generic name for geographic entities such as precincts, wards, and election districts established by State governments for the purpose of conducting elections. States participating in the 2010 Census Redistricting Data Program as part of Public Law 94-171 (1975) provided the Census Bureau with boundaries, codes, and names for their VTDs. Each VTD is identified by a 1- to 6-character alphanumeric census code that is unique within county. For the 2010 Census, Rhode Island is the only State that did not participate in Phase 2 (the Voting District Project) of the Redistricting Data Program and no VTDs exist for this State in the 2010 Census data products. Note that only Montana and Oregon do not have complete coverage of VTDs for the 2010 Census.",Polygon,U.S. Census Bureau. Geography Division,Shapefile,2010,2010-2014,Delaware,Census,"ENVELOPE(-75.789023, -74.984165, 39.839516, 38.451132)"
176,vector_restricted:ESRI09USAREACODE,U.S. Telephone Area Code Boundaries : ESRI Data & Maps 2009,U.S. Telephone Area Code Boundaries represents the telephone area codes for the United States. They are also known as Numbering Plan Areas (NPA). The Numbering Plan Areas reflect current and accurate boundary changes both where new NPAs 'split' from existing NPAs and where new NPAs 'overlay'.,Polygon,"Tele Atlas North America, Inc.",Shapefile,2009,2010-2014,United States,Telephone Area codes,"ENVELOPE(-178.227822, -66.949831, 71.38269, 18.910787)"
194,vector_restricted:MACON95_KSMKT_TRACT,"Kansas Census Tract Market Data, 1995, MaconUSA","This dataset is a polygon layer providing boundary and marketing data for Census tracts for Kansas, 1995. The marketing data set includes attributes covering: population growth, population age and sex distribution, household age, income, and wealth, Claritas Consumer CLOUT expenditure data for alcoholic beverages, women's footwear, attorneys, bicycles, and vehicle supplies, Claritas Financial CLOUT expenditure data on first mortgages greater than $150,000, bank credit cards, and life insurance, PRIZM household type (Elite Suburbs, Working Towns), and workforce employed by the private sector. Individual demographic and marketing datasets for all 50 states plus the District of Columbia at both the Census tract and ZIP code level were derived from MaconUSA's 'Maps and Data for Microsoft Office 95', published in 1996. State and county-level demographic and marketing layers were also derived from the 'Maps and data' dataset. Original dataset sources include: the Claritas Update, Claritas Financial CLOUT database, Claritas Consumer CLOUT database, the U.S. Bureau of Labor Statistics, the U.S. Census Bureau, various other federal, state, and local governmental agencies, and businesses.",Polygon,MaconUSA (Firm),Shapefile,1995,2010-2014,Kansas,Census districts,"ENVELOPE(-102.05128, -94.589699, 40.003087, 36.99306)"
220,vector_public:USGS_NU_ESTELI_DNN,"Net Drainage Coverage (lines), Esteli Region, Nicaragua, 2001","Net drainage coverage (lines) for the Esteli region, Nicaragua. This layer was vectorized from original hard copy 1:50,000 topographic maps produced by the Instituto Geogra?fico Nacional, Nicaragua. Hurricane Mitch devastated Central America during the months of October-November of 1998. From 1998 to 2001 the US Geological Survey was involved along with other federal agencies in the reconstruction effort. The source CD consists of a compilation of GIS data layers and computer applications focused on hazard prevention and useful in municipal planning. Each dataset includes layers for a base area around the urban center of each municipality in the Hurricane Mitch project.",Line,Geological Survey (U.S.),Shapefile,2001,2010-2014,Nicaragua,Bodies of water,"ENVELOPE(-86.420633, -86.291582, 13.154891, 13.028298)"
229,vector_public:TG10NYVTD,Voting Districts NY 2010,"This polygon data layer represents the 2010 TIGER/Line voting districts for New York. The TIGER/Line Files are shapefiles and related database files (.dbf) that are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB). The MTDB represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line File is designed to stand alone as an independent data set, or they can be combined to cover the entire nation. Voting district is the generic name for geographic entities such as precincts, wards, and election districts established by State governments for the purpose of conducting elections. States participating in the 2010 Census Redistricting Data Program as part of Public Law 94-171 (1975) provided the Census Bureau with boundaries, codes, and names for their VTDs. Each VTD is identified by a 1- to 6-character alphanumeric census code that is unique within county. For the 2010 Census, Rhode Island is the only State that did not participate in Phase 2 (the Voting District Project) of the Redistricting Data Program and no VTDs exist for this State in the 2010 Census data products. Note that only Montana and Oregon do not have complete coverage of VTDs for the 2010 Census.",Polygon,U.S. Census Bureau. Geography Division,Shapefile,2010,2010-2014,New York,Census,"ENVELOPE(-79.76259, -71.777491, 45.015865, 40.477399)"
231,vector_restricted:ESRI12EURNUTS2,Europe NUTS 2 Demographics : Esri Data & Maps 2012,"Europe NUTS 2 Demographics represents areas of aggregated socioeconomic and demographic information at the NUTS 2 level for Europe. NUTS 2 units have an average population between 800,000 and 3,000,000 people.NUTS (Nomenclature des Unites Territoriales Statistiques) refers to the Nomenclature of Territorial Units for Statistics. For more information: http://epp.eurostat.ec.europa.eu/portal/page/portal/nuts_nomenclature/introduction.",Polygon,Michael Bauer Research GmbH,Shapefile,2011,2010-2014,Europe,Demography,"ENVELOPE(-31.268814, 69.070335, 81.805769, 27.635929)"
235,vector_public:CAMBRIDGE14SPORTSAREAS,"Sports Areas, Cambridge, Massachusetts, 2010 (pub. 2014)","This layer contains polygon features representing sports areas in Cambridge, Massachusetts, 2010",Polygon,Cambridge (Mass.). Geographic Information Systems,Shapefile,2010,2010-2014,"City of Cambridge, MA",Recreation centers,"ENVELOPE(-71.159684, -71.068173, 42.40306, 42.353911)"
245,vector_public:CAMBRIDGE14FLOODPLAINS,"Floodplains, Cambridge, Massachusetts, 2010","The National Flood Hazard Layer (NFHL) data incorporates all Digital Flood Insurance Rate Map(DFIRM) databases published by FEMA, and any Letters Of Map Revision (LOMRs) that have been issued against those databases since their publication date. The DFIRM Database is the digital, geospatial version of the flood hazard information shown on the published paper Flood Insurance Rate Maps(FIRMs). The primary risk classifications used are the 1-percent-annual-chance flood event, the 0.2-percent-annual-chance flood event, and areas of minimal flood risk. The NFHL data are derived from Flood Insurance Studies (FISs), previously published Flood Insurance Rate Maps (FIRMs), flood hazard analyses performed in support of the FISs and FIRMs, and new mapping data where available. The FISs and FIRMs are published by the Federal Emergency Management Agency (FEMA). The specifications for the horizontal control of DFIRM data are consistent with those required for mapping at a scale of 1:12,000. The NFHL data contain layers in the Standard DFIRM datasets except for S_Label_Pt and S_Label_Ld. The NFHL is available as State or US Territory data sets. Each State or Territory data set consists of all DFIRMs and corresponding LOMRs available on the publication date of the data set.",Polygon,Cambridge (Mass.). Geographic Information Systems,Shapefile,2010,2010-2014,Massachusetts,Floodplains,"ENVELOPE(-71.158658, -71.063899, 42.403752, 42.352359)"
246,vector_public:CAMBRIDGE14PEDESTRIANRAMPS,"Pedestrian Ramps, Cambridge, Massachusetts, 2014",City owned and maintained pedestrian ramps. This layer is maintained by Cambridge Public Works,Point,Cambridge (Mass.). Geographic Information Systems,Shapefile,2014,2010-2014,Massachusetts,Ramps (Walkways),"ENVELOPE(-71.160387, -71.068607, 42.402706, 42.353372)"
255,vector_restricted:CAMBRIDGE09_PLACENAMES,"Place Name Feature Annotations, Cambridge, Massachusetts, 2007","This layer contains cartographically-placed points representing map text annotations for features and points of interest (parks, playgrounds, memorials, schools, squares, hospitals, municipal buildings, etc.) in Cambridge, Massachusetts.",Point,Cambridge (Mass.). Geographic Information Systems,Shapefile,2007,2010-2014,Massachusetts,Municipal,"ENVELOPE(-71.157774, -71.075708, 42.39808, 42.35354)"
